A quel heure ?	Achmen saa ?
A quel moment ?	Achmen ouakt ?
A ta santé	Bsaha
Abimé / gâté	Mkhasr
Absence	Rieb
Acheter	chri
Acheter son billet	Katta lwarka
Allemand allemande	Almani almania
Aller	Mcha
Allez tout doit puis tournez à gauche	Sir nichen ou door a chmel
Allez-y	Tlak
Allumer	Cha3al
alors que	F3ot
Ampoule	Bola
Ane	Hmar
Angle aigu	Hadda
Angle droit	Kaima
Angle obtus	Moferija
Année	Sana
apprendre	7fad
Approcher	Krreb
Apres	Mnbaad
Après midi	Eshiya
Arbre	Chjra
Argent	Flous
Assis	Geles
Assis ! assoyez-vous !	Gless/gelsso
Attraper	Shouper
Au contraire	Bel3aks
Au revoir	Bslama
Au secours	Najda
aubergines	Dnjale
Aujourd’hui	Liouma
Avaler	Blaa
Avant	Kbel
Avec douche c’est 5 dh par nuit	Bdouch khassek nzid 5dh lila
Avec plaisir	Belfarah
Avec toi	Maak
Baisse un peu le prix	N9os shouia 3afak
Balayer	Ichtaba/miknasa
Bas	Lte7t
Beaucoup	Bizef
Belle	Mziouna
Beurre	Zoubda
Bidon	Bido
Bienvenu	Marhaban
Bizarre	Ghariba/fechkel
Blanc	byad
bleu	zerak
Bois	Khcheb
Boite de tomate	rOrraf dmataicha
Bonjour	Sbahalkheir
Bonne appetit	Bsahtek / bsahtkoum
Bonne appetit à toi / vous	Bsahtek / bsahtkoum
Bonne appetit à toi / vous aussi	Bsahtek hata nta / bsahtkoum hata ntouma
Bonne idée	Fikra mzyana
Bonne nuit	Lila saida lila mbrouka
Bonne soirée	Msalkheir
Bonnes fetes	3aidek mabrouk / said
Bonnes fetes aussi	Hta nta 3aidek mabrouk / said
Bonsoir, il vous reste une chambre disponible ?	Msalkhir, ba9i 3andek chi bit khaoui?
bouche	foum
Bougies	Chmea
bras	yidine
Bravo	Sahit
Brûler	Hra9
Bus	Trambia / tobus
C’est bon / c’est fini	Safi
C’est comme ça ! on est au maroc	Madoumtafil maghreb fallaatsi saghreb
C’est de ma faute	Lfalta diali
C’est puissant / c’est top	Chdid
C’est tout	Baraka
Ça ne va pas ?	Machi mzyan ?
Ça va ?	Bekher
Ça va dieu merci	Lebes alhamdoulilah
Carafe	Makreg
carottes	Khaizou
Casquette	Tarbouch
Ce n’est rien	Dnia hania
Cette place, est elle occupée ou libre madame?	7ad lblaça ouech 3amra wla khaouia alalla ?
Cette route mene t elle au marché madame?	Had trek tidi lsouk a lalla ?
Cette route mène-t-elle à fes?	Ouich 7ad trek, tddi lfes ?
Chaise	Coursi
Chambre (s)	Lbit /lbiout
chanceux	Zharr
Chat	kata
Chaton	Mchicha
Chaud	Skhön
Chauffeur	Chifour/chifourat
Chaumeur chaumeuse	bItali bitalia
Cher	Ghali
cheveux	ch3ar
Chien	kelb
Citron	Lemon
Cochon	Houllouf
Cœur	9alb
Combien	Shall ?
Combien ça coute pour aller à l’aeroport ?	Chall tddini lmaatar
Combien coute une chambre	Ch7al t7aseb lbit
Combien coute… ?	Chall
Combien de temps reste-t-il pour arriver ?	Chal dial louakt ba9i nouoslo
Comme ça	Haka
Comment ?	Kifech ? kif ?
Comment ça s’appelle ?	Shnau smitou
Comment ça va ?	Kifah halek
Comment s’appellent ils ?	Kifech / chnau smithoum ?
Comment t’appelles-tu	Shnau smitik/ ishmouk
Comment vas-tu	Kirak kideir
Concombre	Khiar
connaître	3ref
Content	Farhan
corps	dat
Crier	Irouat
Curieux	Fdoli
D’ où vient …	Minjat ?
D’accord	Oakha
D’où etes vous ? de France Canada Belgique , Suisse ?	Mnin nta, mn Fransa Canada Belgika , Swisra ?
Dans quelle ville etais tu en France	Achmen mdina fech kounti frantsa
Dattes	Tmar
De ta bonté	Mnfadlik
Debout	Wa9f
Demain	Radda
Démarrer	Intala9a
Dent	Dars
Derriere	Loor / moor
Dès que j’en aurais l occasion	Aoul manalka chi forsa
Déscendre	Nzil
Devant	Godem
Dieu	Allah
Dieu merci	Hamdoulilah
Difficile	Saieb
Dimanche	Lhad
Diminuer	N9ess
Dire	goll
Dis lui	Kollo
Discuter (prix)	Na9chou
Domestiques	Lkhaddama
Donc	Idan
donne moi	Ara
Donne-moi	Atainy
donner	3ti
dos	dhar
Droite	Limen
Drôle	Kayde7ek
Ecrire	Kteb
Eglise	Kanisa
Elastique	Djipada
elle	Hoa
Eloignez vous de moi ou j’appelle la police	Tfarak m3aia ou la n3ait lboulis
Emmène-moi	Khodni
En bas	Ta7t
En forme	S7i7
En haut	Lfokh
Enchanté	Mcharfin
Enfants	Aouled
Ensemble	Kamlin bikoum
Entendre	Smati
Entre…. Et …	Mabin
Entrez	Dkholl
Epicerie	Hannout
Escargot	Halazoun
Espagnol espagnole	Spanioli spaniolia
essayer	Kenhaoul
Est-ce possible ?	Imken ?
Est-ce que ?	Ouech ?
Est-ce que ce car part pour agadir?	Ouech 7ad lcar radi lagadir?
Est-ce que les chretiens peuvent entrer dans cette mosquée,	Oech nsara ikadrou i dokhlou ila had lmasjid / jamah
Est-ce que vous pouvez me traduire	Ouech takder terjimali
et alors?	o cheno fiha?
Et que sur vous soit le salut	3aleikoum salam
Eteindre	Tfah
Etudiant	Ta3lib ta3liba
Etudier	Kra
Exactement / alors	Nichen / yahadek
Excusez moi je ne l’ai pas fait expres	Smahalia madirthach bla3ni
Excusez moi monsieur mr / mme	Smahlia sidi / lalla
Excusez moi, y a-t-il un hotel ici ?	Smahlia lalla fin kein chi hotel hnaya ?
Existe-t-il un camping dans cette ville ?	Ouech kein chi camping f7ad lmdina a sidi ?
Explication	Char7
Expliquer	Chra7
Faible	Daîf
Faite comme chez vous	Dir bhal darkoum
Farine	Dgig
Fatna la fille d’halloucine	Fatna bentlhoucine
Félicitation	Mabrouk
Felicitations	Hania a3lek
Félicitations	Bsaha
Fenêtre	Sargim
Ferme les yeux	Ramadainick
Ferme ta bouche	Shoud fommek
Fermer	Shoudt
Fils	Ould
Fils de pute	Ould kahba
Force	Caoua
Foret	Lraba
Fort	Caouiy/s7i7
Foulard	Zif
Fout moi la paix	Badmni
Français française	Frantsaoui frantsaouia
Fumer	Tboak
Futur	Mstakbal
Garçon un jus d’orange s’il vous plait	Garçon wahed dl asir dlemon 3afak
Gateaux	Haloua
Gauche	chmell
Gentil	Drifa/drif
Grain de beauté	Khala
Grand	Kbir
gris	remadi
Gros	Rlid
Gros mots	Tflisti
Habiter	Kenskoun
Haricots	Loubia
Haut	Lfokh
Hier	Bera7
Ici	Hna
il	Hia
Il fait chaud	Skhana
Il n’y a pas de mal	Makein bess
Il n’y a pas de problème	Makein mouchkil
Il n’y a pas de quoi	Blajmil
Il n’y a rien	Khaoui
Il y en a	Kaena
ils / elles	Houma
Industrie	Sina3a
Ingenieur	Mouhindis mouhindisa
Instituteur institutrice	Moua3lin moua3lima
Italien italienne	Italiani italiani
J ai oublié	nsit
J’ai beaucoup de retard et aucun taxi n’arrive	Taatalt bezaf o hata taxi maben
J’ai failli…	Konts
J’ai faim	Ana fia jou3
J’ai mal a la tète	Fia hari9 frasi / darni rasi
J’ai peur	Kankhaf
J’ai sommeil	Ana fia nass
J’ai trente ans	Famri tlatin 3am
J’aime ça	Kay3jebni
J’etais à paris et à tolouse	Kount fparis ou ftoulouz
J’habite au centre ville	Nskoun fwoust lmdina
jambes	rajel
jaune	sefar
je	Ana
Je cherche	Kan9aleb
Je fais	kandir
Je fais ce que je veux	Nahmal le bridze
Je ferais de mon mieux	Radindir jahdi
Je m’appelles karim	Asmi Karim
Je n’ai pas bien compris	Mefemtekch mezianne
Je n’ai plus de roue de secour	Ma3ndich roeda dsecour
Je n’ai rien à dire	Ma3ndi mangoul
Je ne comprends pas	Mefemtchi
Je ne sais pas	Manaraf
Je suis allé une fois en France	Ana kount wahed lmarra frantsa
Je suis enrhumé	Fia rouah
Je suis fatigué	Ana aien
Je suis fonctionnaire	Ana maoutef / maoutefa
Je suis là bas	Ana tema
Je suis pressé, pouriez vous rouler un peu plus vite ?	Ana ranimzroub 3afak zrib chwia.
Je suis tombée en panne	Tahat en panne
Je t’aime	Ken brick
Je te felicite	Kenhenek
Je vais par la	Mchi mn hna
Je voudrais que quelqu’un me répare ma voiture	Brit chi wahed le saib lia ltonobil
Je vous en prie madame	Tfadli al oualida
Jeter	Sieb
Jeudi	Khamis
Jeune	cheb
Jeûner	Saiem
Journaliste	Sahafi sahafia
Jours	Aiem
Joyeux aniversaire	Sanaheloua yagamil
L’abscinte	Lchiba
L’aeroport	Maatar
L’année prochaine	Laamji
L’arrivée	Nouosl
