Lundi         , Ltnain
Mardi,Tlat
Mercredi,Larbaa
Jeudi,Khamis
Vendredi,Djouma
Samedi,Sabt
Dimanche,Lhad
Blanc,byad
Noir,kehal
bleu ,zerak
rouge ,hemar
vert ,khdar
gris,remadi
violet,koki/7ajri
jaune,sefar
rose,wardi/rose
yeux ,aynin
tête ,rass
corps ,dat
bras ,yidine
jambes , rajel
nez ,mnakhar
bouche , foum
oreilles ,woudnine
cheveux,ch3ar
ventre ,kerchi
dos , dhar
Cœur,9alb
Tomates,maticha
Oignons,basla
Concombre,Khiar
carottes ,Khaizou
aubergines,Dnjale
Pommes,tffa7
Peches,khokh
Prune,br9o9
Pomme de terre ,btata
Poivron               , flfla
Orange                 ,litchin
Pastèque              ,dla7   
Papillons,faracha
Chat,kata
Chien,kelb
Oiseaux,tyour
Poissons,lheuts
Faite comme chez vous,Dir bhal darkoum
C’est comme ça ! on est au maroc,Madoumtafil maghreb fallaatsi saghreb
Le royaume du maroc,Almamlak al maghreb
Ferme ta bouche,Shoud fommek
Qui part à la chasse perd sa place,Li Mcha ysaied mchatlo l blassa
Joyeux aniversaire,Sanaheloua yagamil
Vive le maroc,Biba al maghreb
J’ai mal a la tète,Fia hari9 frasi / darni rasi
Que Dieu te guerrisse,Rabichafek
Baisse un peu le prix,N9os shouia 3afak
Qui veut du H ? (chanson mondaine),Shkoun le bra maajoun
Je ferais de mon mieux,Radindir jahdi
Que le salut soit sur vous,Asalam 3aleikoum
Et que sur vous soit le salut,3aleikoum salam
Que dieu te / vous bénisse,Barakallah alek / alekoum
Partez en paix,Bslama
Que dieu te rende la vie sauve,Lahisalmek
Comment vas-tu,Kirak kideir
Ça va dieu merci,Lebes alhamdoulilah
Qu’il te pardonne,Aafak
De ta bonté,Mnfadlik
Que dieu te garde en vie,Allah akhlek
Si tu permets, Ila smahti
Que dieu soit satisfait de toi,Allah iardialek
Que dieu te preserve,Allah hafdek
Merci,Choukran
Qu’il te ralonge la vie,Itowoul a3mrek
Que dieu te donne la santé,Allah ataiek saha
Que dieu fasse misericorde à tes parents,Allah iarhamil oualedin
Que dieu te benisse,Barakallah ouafek
Il n’y a pas de quoi,Blajmil
Je n’ai pas bien compris,Mefemtekch mezianne
Repetez s’il vous plait ce que vous avez dit,A3oud 3afak chnou goulti
Parlez doucement ,Hadar  bleti bshouia
"Qui parmis vous parle le français, l’anglais, l’allemand ?",Chkoun le tkelem fikoum lfransaouia lalmania neglesia
Est-ce que vous pouvez me traduire,Ouech takder terjimali
Qui,Chkoun ?
 Lequel e est-ce ? qui est-Ce ?,Chkoun hoa
Comment ?,Kifech ? kif ?
 Laquelle est-ce ? qui est-Ce ?,Chkoun hia
Lequel d’eux ?,Achmen
Lesquels ? lesquelles ?,Chkoun houma ?
Quoi ?,Achnou ? ach ?
Est-ce que ?,Ouech ?
Où,Fein ? fin ?
Est-ce possible ?,Imken ?
Pourquoi ?,Aalach ?
Qu’est ce que tu as ?,Maalek ?
Qu’est ce que vous avez ?,Maaloum ?
Vers où ?,Lfein ? lfin ? lein ?
Combien, Shall ?
Comment ?,Kifech ?
Pardon ?,Naam ?
A quel moment ?,Achmen ouakt ?
A quel heure ?,Achmen saa ?
Y a-t-il ?,Kein chi ?
1,wahed
2,jeuje
3,tlata
4,arbaa
5,khamsa
6,sita
7,sbaa
8,tmania
9,tisaa
10,achara
11,hadach
12,etnach
13,tlatach
14,arbaach
15,khamstach
16,sitach
17,sbaach
18,tmantach
19,tisatach
20,echrin
21,wahed ou echrin
22,jugh ou echrin
30,tlatin
40,arbain
50,khamsin
60,sitin
70,sbaain
80,tmanin
90,tisin
100,mya
200,myatain 
300,tlata mya
1000,alaf
Oui,"Aa, naam"
Non,La
Combien coute… ?,Chall
Laissez moi tranquile s’il vous plait,Khlini trankil aafak
A ta santé,Bsaha
Bonne appetit à toi  / vous,Bsahtek / bsahtkoum
Bonjour, Sbahalkheir
Bonne soirée,Msalkheir
Excusez moi monsieur mr / mme,Smahlia sidi / lalla
Pardon,Laafou
Il n’y a pas de problème,Makein mouchkil
Il n’y a pas de quoi,Dnia hania
Il n’y a pas de mal,Makein bess
La droite,Limen
La gauche,Chmell
Tout droit,Nichen
"Est-ce que les chretiens peuvent entrer dans cette mosquée,",Oech nsara ikadrou i dokhlou ila had lmasjid / jamah
M’est il possible d’entrer ici,Imken li ntroll hana ?
Pouriez vous m’aider s’il vous plait ?,Tkdar tsaadni lah hafdek ?
N’est ce pas  honteux de vous comporter comme cela ?,Machi 7chouma 3lek dir 7ad chi ?
N’avez-vous jamais vu une femme,Ouech 3mrek machoufti mra ?
Eloignez vous de moi ou j’appelle la police,Tfarak m3aia ou la n3ait lboulis
Felicitations,Hania a3lek
Merci,Allah barakfek / fikoum
Bonnes fetes,3aidek mabrouk / said
Bonnes fetes aussi,Hta nta 3aidek mabrouk / said
Avec plaisir,Belfarah
Bravo,Sahit
A ta santé,Bsaha ou raha
Que Dieu te/vous donne la santé,Allah 3ataek /tekoum saha
Bonne appetit,Bsahtek / bsahtkoum
Bonne appetit à toi / vous aussi,Bsahtek hata nta / bsahtkoum hata ntouma
Bonjour,Sbahlkheir
Bonne soirée,Msalkhir
Bonne nuit,Lila saida lila mbrouka
Sois  le / soyez les bienvenus,Marhababek / marhababikoum
Vous avez votre billet madame  ?,Smahlia a3ndek lwarkat a cherifa?
Madame monsieur,Lala sidi
Cette route mene t elle au marché madame?,Had trek tidi  lsouk a lalla ?
Permetez moi de passer monsieur,Smahlia ndouz a sidi
Monsieur est-ce que le train est arrivé ?,Alhaj ouech ja ltren ?
Je vous en prie madame,Tfadli al oualida
Garçon un jus d’orange s’il vous plait,Garçon wahed dl asir dlemon 3afak
Monsieur le fils de abdellah,Si ibn abellah
Moha le fils de amou ezzayani,Moha ohamou ezzayani
Fatna la fille d’halloucine,Fatna bentlhoucine
S’il vous plait pourriez vous porter le sac avec moi ?,Allahkhlek haz ma3ia had sak
S’il vous plait quelle heure est’il ?,Mnfadlak chall saa ?
S’il vous plait est ce que c’est celle-ci la maison de monsieur Driss ?,Allah jazik bikhair ouech hadi dar dial si Driss ?
S’il vous plait la station de bus c’est par ici ?,Allah barak fek lmahata dial kiran min hnaya ?
Sois  le / soyez les bienvenus,Marhababek / marhababikoum
quelle est votre nom ?,Chnau ismak nta ?
Je m’appelles karim,Asmi Karim
"D’où etes vous ? de France Canada Belgique , Suisse ?","Mnin nta, mn Fransa Canada Belgika , Swisra ?"
"Oui je suis de France , du canada",A ana min fransa min canada
Vous restez longtemps au maroc ?,Chall tbkha fl maghreb ? bezzaf ?
Non je rentre d’ici une semaine,La arja min daba semana
Français  française,Frantsaoui frantsaouia
Allemand allemande,Almani almania
Espagnol espagnole,Spanioli spaniolia
Italien italienne,Italiani italiani
Je suis allé une fois en France,Ana kount wahed lmarra frantsa
Dans quelle ville etais tu en France,Achmen mdina fech kounti frantsa
J’etais à paris et à tolouse,Kount fparis ou ftoulouz
Où habites tu ?,Fin ketskoun ?
J’habite au centre ville,Nskoun fwoust lmdina
Quel age as-tu ?,Chall fa3mrak ?
J’ai trente ans,Famri tlatin 3am
Je suis fonctionnaire,Ana maoutef /  maoutefa
Instituteur institutrice,Moua3lin moua3lima
Professeur,Ousted
Etudiant,Ta3lib ta3liba
Ingenieur,Mouhindis mouhindisa
Chaumeur chaumeuse,bItali bitalia
Journaliste, Sahafi sahafia
Vous etes marié,Nta nzouj ?
Non je suis encore célibataire,La bakhe azri
Vous avez des enfants ?, Aandk chi ouled ?
Oui j’ai un garçon et une fille,A a3ndi ouled ou bent
Comment s’appellent ils ?, Kifech / chnau smithoum ?
Le garçon s’appelle rachid et la fille laila,Louled smitou rachid ou lbent laila
Excusez moi je ne l’ai pas fait expres,Smahalia madirthach bla3ni
